MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,FEN_IndoorArea,FE_SalePrice_Per_IndoorArea,FEC_ExterQual_dual,FEC_LotShape_dual,FEC_ExterCond_dual,FEC_BsmtQual_dual,FEC_BsmtCond_dual,FEC_BsmtExposure_dual,FEC_BsmtFinType1_dual,FEC_BsmtFinType2_dual,FEC_HeatingQC_dual,FEC_Functional_dual,FEC_KitchenQual_dual,FEC_GarageQual_dual,FEC_GarageFinish_dual,FEC_GarageCond_dual,FEC_PavedDrive_dual,FEC_PoolQC_dual,FEC_Fence_dual,FEC_FireplaceQu_dual,FEC_Alley_dual,FEC_OverallQual_dual,FEC_OverallCond_dual,FEC_BsmtFullBath_dual,FEC_BsmtHalfBath_dual,FEC_FullBath_dual,FEC_HalfBath_dual,FEC_BedroomAbvGr_dual,FEC_KitchenAbvGr_dual,FEC_TotRmsAbvGrd_dual,FEC_Fireplaces_dual,FEC_GarageCars_dual,FEC_YearBuilt_dual,FEC_YearRemodAdd_dual,FEC_MoSold_dual,FEC_YrSold_dual,FEC_GarageYrBlt_dual,FEC_LotArea_dual,FEC_MasVnrArea_dual,FEC_BsmtFinSF1_dual,FEC_BsmtFinSF2_dual,FEC_BsmtUnfSF_dual,FEC_TotalBsmtSF_dual,FEC_1stFlrSF_dual,FEC_2ndFlrSF_dual,FEC_LowQualFinSF_dual,FEC_GrLivArea_dual,FEC_GarageArea_dual,FEC_WoodDeckSF_dual,FEC_OpenPorchSF_dual,FEC_EnclosedPorch_dual,FEC_3SsnPorch_dual,FEC_ScreenPorch_dual,FEC_PoolArea_dual,FEC_MiscVal_dual,FEC_LotFrontage_dual,FEN_YearAfterRemode,FEN_YearAfterbuilt,FEN_TotRmsAbvGrd_Per_GrLivArea,FEN_BsmtTotalbath,FEN_GrLivTotalbath,FEN_Area_comp0,FEN_Area_comp1,FEN_Area_comp2,FEN_Area_comp3,FEN_Area_comp4,FEN_Area_comp5,FEN_Area_comp7
50,RM,50.0,6060,Pave,0,1,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,PConc,2,3,1,1,0,1,0,732,732,GasA,4,Y,SBrkr,772,351,0,1123,0,0,1,0,3,1,2,4,7,0,0,Detchd,1979,1,1,264,3,3,2,0,0,140,0,0,0,0,3,None,0,6,2007,WD,Normal,100000,1855.01,53.908065185632424,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,57,68,0.003561884628775932,0,1,-0.9001617840980729,0.18128106580072248,-0.1752727797667898,-0.025595825374347014,0.023480940222081418,-0.023537323531043042,-0.0295540414723186
20,RL,103.0,13472,Pave,0,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,5,3,PConc,4,3,4,6,56,1,0,2336,2392,GasA,5,Y,SBrkr,2392,0,0,2392,0,0,2,0,3,1,4,8,7,1,5,Attchd,2003,3,3,968,3,3,3,248,105,0,0,0,0,0,0,None,0,6,2009,WD,Normal,386250,4784.01,80.73770748806963,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,6,6,0.003344480207157104,0,2,-1.350043555900817,-0.01789476105843059,-0.34810444138767827,0.026905659975790586,-0.07069042301425564,0.010171902578641917,0.15833433201131278
90,RM,68.0,8930,Pave,0,1,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,Duplex,1.5Fin,6,5,1978,1978,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1318,584,0,1902,0,0,2,0,4,2,2,8,7,0,0,Attchd,1978,1,2,539,3,3,3,0,0,0,0,0,0,0,0,None,0,4,2010,WD,Normal,112000,1902.01,58.885074210966295,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,32,32,0.004206096631915546,0,2,0.5374328631765897,0.4159947993461552,0.33607941785618756,0.4561570342350701,-0.012894294128336056,-0.014343750514929995,-0.033806099711674836
20,RL,64.0,9037,Pave,0,2,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,32.0,4,3,PConc,3,3,3,6,428,1,0,1048,1476,GasA,5,Y,SBrkr,1484,0,0,1484,0,0,2,0,2,1,4,6,7,1,4,Attchd,2006,2,2,472,3,3,3,120,33,0,0,0,0,0,0,None,0,12,2007,WD,Normal,265900,2960.01,89.83077759872432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0.0040431239601590565,0,2,-1.111152575022956,-0.11421152225923965,-0.20099349422726354,0.011095634057917102,0.006128388068221809,-0.02822370471296917,-0.017697675304515704
60,RL,80.0,11584,Pave,0,1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,7,6,1979,1979,Hip,CompShg,HdBoard,HdBoard,BrkFace,96.0,3,3,CBlock,2,3,1,6,315,3,110,114,539,GasA,3,Y,SBrkr,1040,685,0,1725,0,0,2,1,3,1,2,6,7,1,3,Attchd,1979,2,2,550,3,3,3,0,88,216,0,0,0,0,0,None,0,11,2007,WD,Normal,197000,2264.01,87.01374993926704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,28,28,0.0034782588531832737,0,3,0.9539665069668051,0.2176754043200506,0.25165784348996656,0.07224856206366283,-0.0006594264020000691,0.046320490632129965,-0.00365589647343492
160,RL,36.0,2628,Pave,0,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsI,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Sdng,Stone,106.0,4,3,PConc,3,3,1,1,0,1,0,764,764,GasA,5,Y,SBrkr,764,862,0,1626,0,0,2,1,2,1,3,6,7,0,0,BuiltIn,2003,2,2,474,3,3,3,0,27,0,0,0,0,0,0,None,0,6,2010,WD,Normal,175500,2390.01,73.43065510186149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,7,7,0.003690034630975012,0,3,-3.0683078880359083,0.31841877383431905,0.0023050079340340437,-0.053954871803459634,-0.033933288421017574,0.02703434064173903,-0.007961935216845174
120,RL,48.0,6240,Pave,0,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,BrkFace,176.0,4,3,PConc,3,3,1,6,863,1,0,461,1324,GasA,5,Y,SBrkr,1324,0,0,1324,1,0,2,0,2,1,3,6,7,1,4,Attchd,2006,3,2,550,3,3,3,192,38,0,0,0,0,0,0,None,0,12,2009,WD,Normal,254000,2648.01,95.92108791129942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,3,3,0.0045317186316324535,1,2,-1.8053040526027728,-0.2604961903138096,0.021789299249440043,0.008740237869346943,-0.03776628189411239,-0.0107583872443217,0.016582693533187295
60,RL,77.0,9965,Pave,0,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,220.0,4,3,PConc,4,3,3,6,984,1,0,280,1264,GasA,5,Y,SBrkr,1282,1414,0,2696,1,0,2,1,4,1,4,10,7,1,4,BuiltIn,2007,3,3,792,3,3,3,120,184,0,0,168,0,0,0,None,0,10,2007,New,Partial,383970,3960.01,96.96187635889808,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0.0037091974372413065,1,3,-1.648633819635184,0.13804231702164443,0.28804278173454123,-0.09827548209398558,-0.031731249793566944,0.006769218005272615,-0.006910269745732257
120,RL,50.0,8012,Pave,0,1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,None,0.0,4,3,PConc,3,3,1,6,430,1,0,1145,1575,GasA,4,Y,SBrkr,1575,0,0,1575,1,0,2,0,2,1,3,5,7,0,0,Attchd,1992,2,2,529,3,3,3,0,0,52,0,0,0,0,0,None,0,7,2007,WD,Normal,179200,3150.01,56.88870828981495,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,15,15,0.003174601158983391,1,2,-1.6207124468272487,-0.11198042262719517,-0.210127909387454,0.020984610100995903,0.002339500605132152,-0.02433498056789397,-0.031944703014787294
60,RL,66.0,16226,Pave,0,4,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,3,3,1,6,281,1,0,747,1028,GasA,5,Y,SBrkr,1210,1242,0,2452,0,0,2,1,4,1,3,9,7,1,3,BuiltIn,1998,3,2,683,3,3,3,208,50,0,0,0,0,0,0,None,0,5,2007,WD,Normal,267000,3480.01,76.7239174600073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,8,9,0.003670471586267705,0,3,0.49601595715418895,0.29108417196169983,0.10175040702651776,-0.07800723661733322,-0.015893061481101818,0.01054884497927248,-0.043759418049223925
20,RL,60.0,11664,Pave,0,1,Lvl,AllPub,Inside,Gtl,Names,Artery,Norm,1Fam,1Story,6,5,1948,1950,Gable,CompShg,MetalSd,MetalSd,BrkFace,206.0,3,3,CBlock,2,2,1,4,336,1,0,746,1082,GasA,3,Y,SBrkr,1082,0,0,1082,0,0,1,0,2,1,2,5,7,1,4,Detchd,1948,1,1,240,3,3,3,0,130,0,0,0,0,0,0,None,0,11,2007,WD,Normal,119200,2164.01,55.08292475543089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,57,59,0.004621067817867082,0,1,1.2249484371316566,-0.1013546801576149,-0.20405008420268445,-0.042165542256430065,0.02082480552536021,-0.06371535983830814,0.07624681234538001
160,RM,21.0,1680,Pave,0,1,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsI,2Story,5,7,1972,1972,Gable,CompShg,CemntBd,CemntBd,BrkFace,268.0,3,3,CBlock,2,3,1,5,231,1,0,399,630,GasA,3,Y,SBrkr,630,672,0,1302,0,0,2,1,3,1,2,6,7,0,0,Detchd,1972,1,1,264,3,3,3,185,0,0,0,0,0,0,0,None,0,2,2009,WD,Normal,119500,1932.01,61.852681921936224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,37,37,0.004608291391481266,0,3,-3.297155784083884,0.21280510002908454,0.1360388563790377,-0.07387625789473176,-0.003556896973440637,-0.013833071679965966,0.08999715940636384
80,RL,75.0,13860,Pave,0,1,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,SLvl,8,7,1972,1995,Gable,CompShg,Plywood,Wd Sdng,None,0.0,4,3,CBlock,3,3,4,6,1410,1,0,542,1952,GasA,4,Y,SBrkr,2000,704,0,2704,1,0,2,1,4,1,4,9,7,3,3,Attchd,1972,3,2,538,3,3,3,269,111,0,0,0,0,0,3,None,0,7,2009,WD,Normal,345000,4656.01,74.09777899961554,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,14,37,0.0033284011359463253,1,3,-1.1864510488879945,-0.09029297908058745,0.14075243602286977,-0.05397570638981144,0.046789930026156085,-0.05915826925808416,-0.036880588140375065
80,RL,75.0,9750,Pave,0,1,Lvl,AllPub,Inside,Gtl,Names,Norm,Norm,1Fam,SLvl,5,5,1967,1967,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,2,3,3,5,400,3,480,100,980,GasA,4,Y,SBrkr,980,0,0,980,0,0,2,0,3,1,2,6,7,0,0,Attchd,1967,3,1,384,3,3,3,68,0,0,0,0,0,0,0,None,0,10,2006,WD,Normal,135500,1960.01,69.1323003454064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,39,39,0.006122442732201294,0,2,0.8134375709938257,-0.20657125924811479,0.039091990970033234,0.01798848942514458,0.16482335468520715,0.19948113163303582,0.001146292781026901
60,RL,80.0,10793,Pave,0,1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,5,5,1969,1969,Mansard,CompShg,WdShing,HdBoard,BrkFace,263.0,3,3,CBlock,2,3,1,3,493,4,287,0,780,GasA,5,Y,SBrkr,780,840,0,1620,0,0,2,1,4,1,2,7,6,0,0,Attchd,1969,3,2,462,3,3,3,208,0,0,0,0,0,0,2,None,0,4,2007,WD,Normal,152000,2400.01,63.33306944554397,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,38,38,0.004320984987046304,0,3,0.33229420092150924,0.1481857420290401,0.30691263207739294,-0.1115818777981789,0.0501142108521448,0.11059783815503679,0.07227311280985138
